FAQ Number, Question Type,Question Summary,Sample Questions to better understand the question,Answer Summary, Additional steps,待完善
1,Repair,Glass leg or beam is broken.,Sample 1: The leg of the glass is broken.,"1. Please accept our deepest apologies for the bad experience;
2. Please offer the pictures or videos of products with problems that you have mentioned;
3. As soon as we receive a response, we will investigate the issue carefully and provide a reasonable solution.
",please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362;,
2,Repair,Nose stand or nasal pad is uncomfortable.,"Sample 1: The nasal pad is uncomfortable. It makes the nose uncomfortable.

Sample 2: One small thing however, I maybe have a big nose or a shorter area between my nose and my forehead.   I’m not sure but the supplied nose pads didn’t really fit very well for my face.   In the process of adjusting them, both sets broke loose from the flat plate that they attach to. Can I purchase more, is there a recommended way to adjust them?   Lastly, do the prescription lenses have a node pad?","1. We are extremely sorry to hear that you received a product that couldn't working;
2. Please offer the revelant pictures of products with problems that we discussed;
3. please offer the latest shipping address and the order id, and the model of your glass, so that we could send you a new nose pad, which could solve the problem;",please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362;,
3,Repair,Screen / len is not working under 3D mode.,"Sample 1: It’s not working right side, 
only the left len works.

Sample 2: The left or right side (border) looks blurry until I move the glasses left or right. The same goes for the bottom on the 3D model;","1. We are extremely sorry to hear that you received a product that couldn't working;
2. Most likely, when there is no 3D video playing (normal state), press a to press the 3D key, and then the screen is on and off;
3.Re-plug and unplug the glasses cable to the various devices, and then do not press any key (including the 3D key);
4. Besides, the below link guide how to do play 3D video; please click the below link:
https://www.canva.com/design/DAFXiF6MWb8/0o62qdOSqnsESEPxmn--Jg/view#22
",please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362;,增加3D视频部分，完整的走完3D视频播放的设置流程
4,Repair,There are blurred edges in the screen.,"Sample 1: I could see the bottom clearly, but this time the top was obscured by the frame. In addition, the black shield is highly reflective, and if the sun is to your side or behind you, you won't be able to see anything","1. Extremly sorry for the bad use experience;
2. A hint of the reason for the blurred boundary: each eye corresponds to a screen, and one side of a screen cannot be seen clearly, and two eyes will appear blurred boundaries
3. Then, be sure to adjust in this order: First adjust the degree of myopia to ensure that each screen is clearly seen; Then adjust the nasal pad to ensure that each eye sees the four boundaries of each screen clearly
4. We will post an Update in IGG soon with details on how to see the four boundaries
5. Still unable to solve the problem, please offer the latest address, the order Id and the model of your Dream Glass,so that we could reissue the children's nose pad;","please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362 with the e-mail records, which could help us solve the problem for you ASAP.",
5,Repair,Cover shade (black shield) is reflective.,"Sample 1: The cover shade or black shield is highly reflective, and if the sun is to my side or behind me, I won't be able to see anything.","1. Show our sincerely sorry for the bad use experience;
2.  Please offer the latest shipping address and the order id, and the model of your glass, so that we could send you a new black eye mask, which could solve the problem;","please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362 with the e-mail records, which could help us solve the problem for you ASAP.",
7,Repair,Cable or HDMI cable is broken.,"Sample 1: I have received the glasses, unfortunately they do noat work. The cable seems broken. There are clear signs on the glasses being used before, scratches on the casing and the way the cable looks;

Sample 2: Slightly moving the cord the display will work then go back out. the cord connection isn’t working. Moving the cord will turn on and off the display.
","1. We are extremely sorry to hear that you received a product that did not meet your expectations.
2. Please offer the relevant pictures and let us know the specific cable has been broken, in addition, please provide the latest address and the Order Id information so taht we could send a new cable;","please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362 with the e-mail records, which could help us solve the problem for you ASAP.",
8,Repair,Nose stand came off and got detached from the glasses.,Sample 1: the nose clip came off the first time I put on the glasses. Looks like it's supposed to snap around the square pad with a screw in it;,"1. Express our deepest apologies for all those;
2. In addition, please provide the relevant pictures and the latest address information order Id and the model of your glass, so that we could supply a new nose clip;","please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362 with the e-mail records, which could help us solve the problem for you ASAP.",
9,Repair,Screens are positioned too low.,"Sample 1: Just received my pair and starting to explore! They seem really well made and connecting them to a Windows machine was easy. My issue is that the ""screen"" seems too low. I have to have them all the way out to the tip of my nose to see the whole ""screen."" is there a way change the projection angle or something?","I hope this email finds you well.
I wanted to reach out to express my sincere apologies for the inconvenience caused the Glass;
By gently bending the metal nose pad holder, I was able to achieve the desired adjustment.  
Additionally, I would suggest using a transparent white nose pad, as it may provide better adjustability.","1. please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362 with the e-mail records, which could help us solve the problem for you ASAP.
2. or could make reference from the user manual, the below link:
https://www.canva.com/design/DAFXiF6MWb8/0o62qdOSqnsESEPxmn--Jg/view#13",
10,Repair,"screen black-out, brunt-out, flickering or dying","Sample 1: The screens are flickering then dying.

Sample 2: I noticed that there was some screen burnt-out on a white screen that looked like a startup or test screen, perhaps it must have been left behind for a long time before I got it;","1.We are extremely sorry to hear that you received a product that did not meet your expectations.
2. Please offer the relevant recordings of the problem so that our after-service team could be better judge and provide the corresponding solutions;
3. please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362;

Thank you again for your support, if feel free please contact us, we'd love to help you solve those;

Sincerely，
DreamWorld team","please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362 with the e-mail records, which could help us solve the problem for you ASAP.",
12,Repair,Glasses making noises.,have an issue with the constant noise it makes even when the audio is muted. Feels like a wire may be loose inside. There are no headphones. The constant static noise us coming from the directional speakers built into the glasses.,"1.We are extremely sorry to hear that you received a product that did not meet your expectations.
2. Please off the relevant videos to our after-service support@dreamworldvision.com, so that our after-sales team could be better judge and provide corresponding solutions;","please contact our customer support team support@dreamworldvision.com or make the phone service via +1(206)201-9362 with the e-mail records, which could help us solve the problem for you ASAP.",
